BAR NUMBER;TIME SIGNATURE;DIVISION;TEMPO;REHEARSAL MARKING;TEXT MARKING
325;;;;;
326;4/4;;;;
327;;;;;
328;5/4;;;;
329;4/4;;;329;
330;;;;;
331;9/8;;;;
332;3/4;;;;
333;;;;;
334;;;;;
335;6/8;;;;
336;5/4;;;;
337;4/4;;;337;
338;;;;;
339;;;;;
340;2/4;;;;
341;4/4;;;;
342;;;;;
343;;;;;
344;;;;;
345;6/4;;;345;
346;;;;;
347;4/4;;;;
348;;;;;
349;;;;;
350;6/4;;;;
351;;;;;
352;9/8;;;;
353;5/4;;;;
354;3/4;;69;354;
355;;;;;
356;;;;;
357;;;;;
358;;;;;
359;;;;;
360;;;;;
361;;;;;
362;4/4;;52;362;
363;;;;;
364;2/4;;;;
365;4/4;;;;
366;;;;;
367;;;;;
368;3/4;;;;
369;4/4;;69;369;
370;;;;;
371;;;;;
372;;;;;
373;;;;;
374;;;;;
375;2/4;;184;375;
376;7/8;2+2+3;;;
377;9/8;;;;
378;2/4;;;;
379;7/8;2+2+3;;;
380;;3+2+2;;;
381;4/4;;;381;
382;;;;;
383;;;;;
384;2/4;;;;
385;4/4;;;;
386;;;;;
387;;;;;
388;2/4;;;;
389;4/4;;;389;
390;2/4;;;;
391;4/4;;;;
392;;;;;
393;;;;;
394;3/4;;;;
395;4/4;;;395;
396;;;;;
397;;;;;
398;;;;;
399;;;;;
400;;;;;
401;;;;401;
402;;;;;
403;;;;;
404;;;;;
405;;;;;
406;;;;;
407;;;;;
408;;;;;
409;;;;;
410;;;;;
411;;;;411;
412;;;;;
413;;;;;
414;;;;;
415;;;;;
